ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.14.20.129","elite","AS131717","ID","PT Citra Jelajah Informatika","173","N/A","5678","socks4","1114","1","2023-03-07T05:08:35.751Z","98","1171","1195"
"143.198.69.18","elite","AS14061","US","DigitalOcean, LLC","146","DigitalOcean, LLC","12345","socks5","1037","1","2023-03-07T05:08:34.423Z","91","1045","1147"
"113.161.248.119","elite","AS45899","VN","VietNam Post and Telecom Corporation","218","Vietnam Posts and Telecommunications Group","1080","socks4","1337","1","2023-03-07T05:08:34.771Z","82","978","1194"
"185.138.123.78","elite","AS203217","IQ","Horizon ISP3","94","Horizon Scope Mobile Telecom WLL","61896","socks4","971","1","2023-03-07T05:08:34.796Z","71","785","1106"
"46.8.38.1","elite","AS60873","RU","Alliance Communications Ltd","66","Alliance Communications Ltd","4153","socks4","1270","1","2023-03-07T05:08:34.076Z","100","1137","1138"
"190.140.31.195","elite","AS18809","PA","Cable Onda","164","PARSA, S.A","9900","socks4","1215","1","2023-03-07T05:08:34.056Z","98","1171","1194"
"103.111.137.68","elite","AS136093","ID","FAZNET","245","N/A","5678","socks4","1104","1","2023-03-07T05:08:34.419Z","12","135","1108"
"173.195.27.137","elite","AS11976","US","Fidelity Communication International Inc.","115","Fidelity Communication International Inc.","10091","socks4","1360","1","2023-03-07T05:08:34.771Z","100","1192","1193"
"223.215.171.51","elite","AS4134","CN","Chinanet","206","Chinanet AH","2829","socks4","1200","1","2023-03-07T05:08:34.056Z","48","521","1076"
"178.236.223.250","anonymous","AS15493","RU","JSC \"Russian Company\" LIR","81","JSC Russian Company","8080","http","1321","719","2023-03-07T05:08:34.057Z","100","1096","1097"
"80.89.137.210","elite","AS21127","RU","ZSTTK","85","JSC Zap-SibTranstelecom","4145","socks4","982","1","2023-03-07T05:08:34.795Z","99","1184","1194"
"45.13.59.103","elite","AS51167","DE","Contabo GmbH","14","Contabo GmbH","1080","socks5","1054","1","2023-03-07T05:08:34.422Z","100","1189","1194"
"89.237.32.33","elite","AS20485","RU","multi-origin SUTTK","72","N/A","51549","socks4","1165","1","2023-03-07T05:08:34.386Z","100","1148","1153"
"202.152.51.44","elite","AS4800","ID","PT Aplikanusa Lintasarta","211","LA EI","8080","socks4","1183","1","2023-03-07T05:08:34.385Z","94","1011","1077"
"187.210.136.88","elite","AS8151","MX","Uninet S.A. de C.V.","161","Uninet S.A. de C.V","4153","socks4","1213","1","2023-03-07T05:08:34.419Z","100","1193","1195"
"181.78.24.30","elite","AS52468","CO","IFX Networks Argentina S.R.L","160","UFINET COLOMBIA, S. A","5678","socks4","1227","1","2023-03-07T05:08:34.055Z","82","972","1179"
"103.251.222.73","elite","AS58972","IN","BHOMIKA","197","Bhomika","4145","socks4","1145","1","2023-03-07T05:08:34.387Z","100","1179","1184"
"193.217.8.145","elite","AS1257","LT","Tele2 AB","78","Tele2 AB","5678","socks4","1070","1","2023-03-07T05:08:34.791Z","30","337","1134"
"122.152.52.254","elite","AS38562","BD","Innovative Online Ltd.","201","Innovative Online Ltd","5678","socks4","1185","1","2023-03-07T05:08:34.077Z","44","530","1194"
"190.120.250.31","elite","AS264628","VE","CORPORACION FIBEX TELECOM, C.A.","141","TV Cable Litoral C.A","4145","socks4","1115","1","2023-03-07T05:08:34.388Z","100","1145","1150"
"154.113.145.193","elite","AS37282","NG","Mainone Cable Company","132","Mainone Cable Company","5678","socks4","1155","1","2023-03-07T05:08:34.386Z","100","1154","1156"
"190.180.35.150","elite","AS25620","BO","Cotas Ltda.","210","Cablemodem-ip-dinamica - Generico IP Cmts HMC","5678","socks4","1282","1","2023-03-07T05:08:34.772Z","99","1151","1160"
"77.95.229.224","elite","AS62370","NL","Snel.com B.V.","14","N/A","9051","socks4","1372","1","2023-03-07T05:08:34.770Z","100","1177","1179"
"46.167.234.141","elite","AS16019","CZ","UPC Czech","38","Tkom Plus sro","5678","socks4","1321","1","2023-03-07T05:08:34.771Z","100","1193","1195"
"109.73.184.32","elite","AS49924","IT","ECROM-MAIN","71","N/A","5678","socks4","1252","1","2023-03-07T05:08:33.786Z","83","950","1140"
"45.122.45.49","elite","AS38571","IN","Channel9 Cable Network","213","N/A","5678","socks4","1300","1","2023-03-07T05:08:33.141Z","99","1187","1193"
"101.51.121.141","elite","AS23969","TH","TOT Public Company Limited","157","TOT Public Company Limited","4153","socks4","1378","1","2023-03-07T05:08:33.807Z","99","1177","1194"
"47.89.185.178","anonymous","AS45102","US","Alibaba.com LLC","79","ALICLOUD-US","8888","http","1155","833","2023-03-07T05:08:33.140Z","98","1059","1079"
"43.153.56.181","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","146","Tencent Cloud Computing","443","socks5","1400","1","2023-03-07T05:08:33.508Z","10","119","1147"
"84.51.0.195","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","58","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","1288","1","2023-03-07T05:08:33.785Z","99","1144","1153"
"159.65.4.147","elite","AS14061","SG","DigitalOcean, LLC","180","DigitalOcean, LLC","7497","socks5","1227","1","2023-03-07T05:08:33.480Z","95","1096","1158"
"66.94.111.80","anonymous","AS40021","US","Contabo Inc.","73","Contabo Inc","9999","http","1298","743","2023-03-07T05:08:33.787Z","100","1146","1148"
"140.250.144.18","elite","AS4134","CN","Chinanet","188","Chinanet SD","1080","socks4","1373","1","2023-03-07T05:08:33.811Z","94","1017","1087"
"200.46.203.42","elite","AS21599","PA","Cable Onda","154","Rapid Print Panama","5678","socks4","1290","1","2023-03-07T05:08:33.141Z","97","1157","1194"
"101.109.247.173","elite","AS23969","TH","TOT Public Company Limited","150","TOT Public Company Limited","4145","socks4","1384","1","2023-03-07T05:08:33.810Z","83","972","1177"
"161.142.12.28","elite","AS9930","MY","TT DOTCOM SDN BHD","250","TT DOTCOM SDN BHD","80","socks4","1250","1","2023-03-07T05:08:33.140Z","96","1038","1077"
"185.66.228.149","elite","AS201689","IR","Lamerd Information & Communication Technology Co., ltd","129","N/A","4145","socks4","1274","1","2023-03-07T05:08:33.139Z","92","1103","1194"
"103.53.63.94","elite","AS24554","IN","Fivenetwork Solution India Pvt Ltd Internet","180","Hi5 Broadband Pvt Ltd","5678","socks4","1304","1","2023-03-07T05:08:33.160Z","100","1131","1136"
"173.249.15.248","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","33471","socks4","1397","1","2023-03-07T05:08:33.810Z","100","1151","1156"
"61.164.58.66","elite","AS4134","CN","Chinanet","218","Zhejiang Huida Station Network Co. Ltd.","10800","socks4","1239","1","2023-03-07T05:08:33.787Z","97","1064","1098"
"104.16.108.234","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","1347","1","2023-03-07T05:08:33.505Z","100","1181","1181"
"5.58.66.55","elite","AS16223","UA","Columbus","36","Lanet Network Ltd","14888","socks4","1309","1","2023-03-07T05:08:33.139Z","99","1180","1194"
"103.68.3.114","elite","AS135459","ID","PT.GLOBALRIAU DATA SOLUSI","164","N/A","4145","socks4","1180","1","2023-03-07T05:08:33.493Z","94","1117","1192"
"104.16.224.33","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","1199","1","2023-03-07T05:08:33.155Z","100","1182","1185"
"170.254.255.227","elite","AS52584","BR","Connect Fibra","214","Connect Fibra","45816","socks4","1281","1","2023-03-07T05:08:33.141Z","98","1164","1193"
"45.7.177.224","elite","AS266626","BR","Litoral Telecom","195","Litoral Telecom","39867","socks4","1145","1","2023-03-07T05:08:32.202Z","99","1173","1184"
"212.69.12.166","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","33","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1236","1","2023-03-07T05:08:32.738Z","100","1146","1146"
"103.25.46.238","elite","AS58898","IN","Rainbow communications India Pvt Ltd","190","Rainbow communications India Pvt Ltd","4153","socks4","1178","1","2023-03-07T05:08:32.201Z","100","1178","1182"
"83.168.84.141","elite","AS31304","PL","ESPOL-FH","48","N/A","4153","socks4","1190","1","2023-03-07T05:08:32.768Z","99","1173","1190"
"103.197.206.69","elite","AS136759","BD","Cosmopolitan Communications Limited","192","Cosmopolitan Communications Limited","5678","socks4","1223","1","2023-03-07T05:08:32.739Z","98","1172","1194"
"187.16.255.69","elite","AS28260","BR","Alta Rede Corporate Network Telecom Ltda - EPP","210","Alta Rede Corporate Network Telecom Ltda - EPP","4153","socks4","1168","1","2023-03-07T05:08:32.770Z","100","1190","1192"
"202.162.197.155","elite","AS23679","ID","Media Antar Nusa PT.","166","Nusanet","5678","socks4","1191","1","2023-03-07T05:08:32.200Z","98","1070","1089"
"144.76.101.219","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","10016","http","1332","720","2023-03-07T05:08:32.243Z","100","1161","1163"
"103.126.87.25","elite","AS138109","ID","BINTANGPERKASAORION","170","N/A","1080","socks4","1286","1","2023-03-07T05:08:31.151Z","99","1185","1196"
"182.253.246.88","elite","AS17451","ID","BIZNET","168","N/A","4153","socks4","1137","1","2023-03-07T05:08:31.829Z","97","1159","1195"
"89.161.89.20","elite","AS39375","PL","Telekomunikacja Podlasie sp. z o.o.","34","TPODLASIE CATV Network","5678","socks4","1119","1","2023-03-07T05:08:31.496Z","98","1173","1195"
"43.229.252.73","elite","AS138841","ID","PT Media Andalan Nusa","206","N/A","5678","socks4","1239","1","2023-03-07T05:08:31.151Z","43","465","1094"
"31.13.33.20","anonymous","AS8732","RU","JSC Comcor","58","Comcor","8080","http","1170","5127","2023-03-07T05:08:31.832Z","100","1115","1116"
"27.46.55.150","elite","AS17623","CN","China Unicom Guangdong Province Network","246","N/A","3629","socks4","1124","1","2023-03-07T05:08:31.125Z","91","1015","1113"
"195.231.72.187","elite","AS202242","IT","Aruba S.p.A.","20","Aruba S.p.A. - Cloud Services","1080","socks4","1256","1","2023-03-07T05:08:31.122Z","97","1133","1171"
"170.244.64.198","elite","AS266492","BR","Flash Servicos EM Fibra Optica Ltda - ME","197","Flash Servicos EM Fibra Optica Ltda - ME","31476","socks4","1185","1","2023-03-07T05:08:31.124Z","99","1140","1148"
"202.159.60.145","elite","AS9340","ID","PT IndoInternet","167","N/A","443","socks4","1185","1","2023-03-07T05:08:31.495Z","99","1187","1193"
"109.227.6.197","elite","AS12810","HR","Vipnet","70","N/A","4145","socks5","1321","1","2023-03-07T05:08:31.150Z","48","548","1151"
"149.20.253.93","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","1333","1","2023-03-07T05:08:31.149Z","100","1162","1163"
"103.120.135.229","elite","AS38235","KH","Angkor Data Communication","201","N/A","33427","socks5","1206","1","2023-03-07T05:08:31.857Z","99","1065","1076"
"159.192.97.156","elite","AS131090","TH","CAT-BB","194","N/A","4145","socks4","1245","1","2023-03-07T05:08:31.123Z","85","962","1133"
"162.255.110.52","elite","AS54755","US","Desert Winds Wireless","146","Desert Winds Wireless Inc","5678","socks4","1068","1","2023-03-07T05:08:31.497Z","100","1161","1163"
"178.63.244.28","elite","AS24940","DE","Hetzner Online GmbH","16","N/A","4003","socks4","1310","1","2023-03-07T05:08:31.520Z","94","1123","1194"
"37.152.163.95","elite","AS198569","IR","Rahanet Zanjan Co. (Private Joint-Stock)","221","Rahanet Zanjan Co.","4153","socks4","1217","1","2023-03-07T05:08:31.856Z","85","996","1175"
"182.253.192.186","elite","AS17451","ID","BIZNET","186","N/A","46634","socks4","1149","1","2023-03-07T05:08:31.828Z","100","1192","1195"
"149.20.253.217","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","1265","1","2023-03-07T05:08:31.855Z","100","1170","1171"
"103.47.93.245","elite","AS134058","IN","Broban Internet Services Pvt.ltd","223","Broban  PVT Ltd.","1080","socks4","1079","1","2023-03-07T05:08:31.497Z","99","1187","1194"
"181.129.70.82","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","144","EPM Telecomunicaciones S.A. E.S.P","44357","socks4","1157","1","2023-03-07T05:08:31.495Z","98","1088","1114"
"202.58.199.229","elite","AS45701","ID","Internet Madju Abad Millenindo, PT","217","Millenindo","5678","socks4","1114","1","2023-03-07T05:08:31.125Z","97","1163","1196"
"41.180.96.110","elite","AS36916","ZA","X-DSL Networking Solutions","168","X-dsl Networking Solutions","4153","socks4","1214","1","2023-03-07T05:08:31.124Z","97","1091","1127"
"23.106.219.181","elite","AS396190","US","Leaseweb USA, Inc.","146","LeaseWeb USA, Inc. Seattle","32129","socks4","1115","1","2023-03-07T05:08:31.830Z","100","1164","1164"
"50.63.165.22","elite","AS398101","US","GoDaddy.com, LLC","138","GoDaddy.com, LLC","26825","socks4","1312","1","2023-03-07T05:08:31.854Z","99","1056","1072"
"198.229.231.13","anonymous","AS11062","US","MTCO Communications","92","Service Provider Corporation","8080","http","1296","666","2023-03-07T05:08:31.498Z","100","1074","1074"
